ID,SCL_Initial,Age,Sex,State,SCL_Mean,Growth,Year,,,,
11,30.4,2.75,unknown,NC,31.4,2.1,1990,,,,
11,32.5,3.75,unknown,NC,33.9,2.7,1991,,,,
11,35.2,4.75,unknown,NC,35.7,0.9,1992,,,,
11,36.1,5.75,unknown,NC,36.3,0.3,1993,,,,
11,36.5,6.75,unknown,NC,36.9,0.9,1994,,,,
11,37.4,7.75,unknown,NC,38,1.3,1995,,,,
11,38.6,8.75,unknown,NC,40.2,3.2,1996,,,,
11,41.8,9.75,unknown,NC,42.9,2.2,1997,,,,
11,44,10.75,unknown,NC,44.3,0.6,1998,,,,
12,51.2,7.75,unknown,VA,52.9,3.4,1998,,,,
12,54.6,8.75,unknown,VA,55.4,1.6,1999,,,,
12,56.2,9.75,unknown,VA,58.4,4.4,2000,,,,
12,60.6,10.75,unknown,VA,62.8,4.3,2001,,,,
13,26.5,3.75,male,SC,27.6,2.3,2001,,,,
13,28.7,4.75,male,SC,30.8,4.1,2002,,,,
13,32.8,5.75,male,SC,33.9,2.1,2003,,,,
13,34.9,6.75,male,SC,36.8,3.8,2004,,,,
13,38.7,7.75,male,SC,39.6,1.7,2005,,,,
13,40.4,8.75,male,SC,41.7,2.6,2006,,,,
13,43,9.75,male,SC,44.1,2.2,2007,,,,
13,45.2,10.75,male,SC,46.5,2.7,2008,,,,
13,47.8,11.75,male,SC,49.7,3.8,2009,,,,
14,71.1,18.75,male,GA,71.8,1.5,1995,,,,
14,72.5,19.75,male,GA,73,1,1996,,,,
14,73.6,20.75,male,GA,74,0.8,1997,,,,
14,74.4,21.75,male,GA,74.9,1.1,1998,,,,
14,75.5,22.75,male,GA,75.7,0.3,1999,,,,
14,75.8,23.75,male,GA,76.3,0.9,2000,,,,
14,76.7,24.75,male,GA,78.1,2.8,2001,,,,
14,79.5,25.75,male,GA,80.1,1.1,2002,,,,
14,80.6,26.75,male,GA,81,0.7,2003,,,,
14,81.3,27.75,male,GA,81.3,0,2004,,,,
14,81.3,28.75,male,GA,81.3,0,2005,,,,
14,81.4,29.75,male,GA,81.4,0.1,2006,,,,
14,81.4,30.75,male,GA,81.5,0.2,2007,,,,
14,81.7,31.75,male,GA,81.8,0.2,2008,,,,
15,29.8,3.75,unknown,NC,31.1,2.7,1990,,,,
15,32.5,4.75,unknown,NC,33.7,2.5,1991,,,,
15,35,5.75,unknown,NC,35.6,1.1,1992,,,,
15,36.1,6.75,unknown,NC,37.4,2.6,1993,,,,
15,38.7,7.75,unknown,NC,39.7,1.9,1994,,,,
15,40.6,8.75,unknown,NC,42.6,4,1995,,,,
15,44.7,9.75,unknown,NC,45.2,1.2,1996,,,,
15,45.8,10.75,unknown,NC,47.2,2.8,1997,,,,
15,48.6,11.75,unknown,NC,50.7,4.1,1998,,,,
15,52.7,12.75,unknown,NC,55.4,5.4,1999,,,,
15,58.1,13.75,unknown,NC,59.9,3.7,2000,,,,
15,61.8,14.75,unknown,NC,62.2,0.8,2001,,,,
15,62.6,15.75,unknown,NC,62.7,0.2,2002,,,,
16,30.5,3.75,unknown,NC,31.9,2.7,1993,,,,
16,33.2,4.75,unknown,NC,36.4,6.3,1994,,,,
16,39.5,5.75,unknown,NC,40.7,2.3,1995,,,,
16,41.9,6.75,unknown,NC,44.2,4.7,1996,,,,
16,46.5,7.75,unknown,NC,49.5,5.9,1997,,,,
17,35.2,5.75,unknown,NC,37,3.5,1991,,,,
17,38.7,6.75,unknown,NC,40.4,3.4,1992,,,,
17,42.1,7.75,unknown,NC,45,5.7,1993,,,,
17,47.9,8.75,unknown,NC,51,6.3,1994,,,,
17,54.2,9.75,unknown,NC,57.7,6.9,1995,,,,
17,61.1,10.75,unknown,NC,62.5,2.7,1996,,,,
17,63.8,11.75,unknown,NC,64,0.3,1997,,,,
18,35.9,4.75,unknown,NC,36.7,1.6,1999,,,,
18,37.5,5.75,unknown,NC,38.6,2.2,2000,,,,
18,39.7,6.75,unknown,NC,41.4,3.4,2001,,,,
18,43.1,7.75,unknown,NC,44.6,3.1,2002,,,,
18,46.2,8.75,unknown,NC,48.5,4.6,2003,,,,
18,50.8,9.75,unknown,NC,52.5,3.5,2004,,,,
18,54.3,10.75,unknown,NC,55.2,1.8,2005,,,,
18,56.1,11.75,unknown,NC,57.2,2.3,2006,,,,
18,58.4,12.75,unknown,NC,60.2,3.8,2007,,,,
19,28.2,2.75,unknown,NC,29.5,2.6,2000,,,,
19,30.8,3.75,unknown,NC,31.8,2.1,2001,,,,
19,32.9,4.75,unknown,NC,35.5,5.2,2002,,,,
19,38.1,5.75,unknown,NC,38.7,1.2,2003,,,,
19,39.3,6.75,unknown,NC,39.8,1,2004,,,,
19,40.3,7.75,unknown,NC,41.4,2.3,2005,,,,
19,42.6,8.75,unknown,NC,43.3,1.4,2006,,,,
19,44,9.75,unknown,NC,44.2,0.4,2007,,,,
19,44.4,10.75,unknown,NC,45.5,2.2,2008,,,,
20,39.5,5.75,female,VA,40.3,1.7,1998,,,,
20,41.1,6.75,female,VA,42.2,2,1999,,,,
20,43.2,7.75,female,VA,44.9,3.4,2000,,,,
20,46.6,8.75,female,VA,48.8,4.4,2001,,,,
20,51,9.75,female,VA,53.4,4.7,2002,,,,
20,55.7,10.75,female,VA,59.4,7.3,2003,,,,
21,25.5,3.75,unknown,VA,27.4,3.7,1993,,,,
21,29.2,4.75,unknown,VA,31,3.6,1994,,,,
21,32.8,5.75,unknown,VA,34.7,3.6,1995,,,,
21,36.5,6.75,unknown,VA,38.3,3.6,1996,,,,
21,40.1,7.75,unknown,VA,41.1,2,1997,,,,
21,42.1,8.75,unknown,VA,42.2,0.2,1998,,,,
21,42.3,9.75,unknown,VA,42.4,0.2,1999,,,,
21,42.5,10.75,unknown,VA,45.2,5.4,2000,,,,
22,14.9,0.75,female,FL ,15.6,1.4,1999,,,,
23,28.1,3.75,unknown,FL ,29.2,2.1,1991,,,,
23,30.2,4.75,unknown,FL ,31.4,2.3,1992,,,,
23,32.5,5.75,unknown,FL ,33.7,2.4,1993,,,,
23,35,6.75,unknown,FL ,36.9,3.9,1994,,,,
23,38.8,7.75,unknown,FL ,40.4,3.2,1995,,,,
23,42,8.75,unknown,FL ,44.4,4.9,1996,,,,
23,46.8,9.75,unknown,FL ,49.7,5.6,1997,,,,
23,52.5,10.75,unknown,FL ,54.3,3.6,1998,,,,
23,56.1,11.75,unknown,FL ,57,1.8,1999,,,,
23,57.9,12.75,unknown,FL ,58.4,1,2000,,,,
23,58.9,13.75,unknown,FL ,59,0.2,2001,,,,
24,43.2,6.75,male,FL ,44.2,1.9,1996,,,,
24,45.2,7.75,male,FL ,45.8,1.2,1997,,,,
24,46.3,8.75,male,FL ,47.3,2,1998,,,,
24,48.3,9.75,male,FL ,48.9,1.2,1999,,,,
24,49.5,10.75,male,FL ,51.9,4.7,2000,,,,
24,54.2,11.75,male,FL ,56.9,5.5,2001,,,,
24,59.7,12.75,male,FL ,62,4.6,2002,,,,
25,26.2,3.75,unknown,NC,27.6,2.8,1991,,,,
25,29,4.75,unknown,NC,30.4,2.9,1992,,,,
25,31.9,5.75,unknown,NC,32.9,2,1993,,,,
25,33.9,6.75,unknown,NC,35.8,3.9,1994,,,,
25,37.7,7.75,unknown,NC,41.7,8,1995,,,,
25,45.7,8.75,unknown,NC,47,2.5,1996,,,,
26,31.5,3.75,female,NC,32.1,1.2,1992,,,,
26,32.6,4.75,female,NC,33.2,1.1,1993,,,,
26,33.7,5.75,female,NC,34.4,1.4,1994,,,,
26,35.2,6.75,female,NC,36.2,2,1995,,,,
26,37.2,7.75,female,NC,38.2,2.2,1996,,,,
26,39.3,8.75,female,NC,40.7,2.6,1997,,,,
26,42,9.75,female,NC,42.7,1.5,1998,,,,
26,43.5,10.75,female,NC,44.1,1.2,1999,,,,
26,44.7,11.75,female,NC,46.2,3,2000,,,,
27,28.7,3.75,unknown,VA,29.3,1.1,1996,,,,
27,29.8,4.75,unknown,VA,30.6,1.5,1997,,,,
27,31.3,5.75,unknown,VA,32.7,2.8,1998,,,,
27,34.1,6.75,unknown,VA,35.4,2.5,1999,,,,
27,36.6,7.75,unknown,VA,37.3,1.3,2000,,,,
27,38,8.75,unknown,VA,39.6,3.3,2001,,,,
27,41.3,9.75,unknown,VA,42.1,1.7,2002,,,,
28,71,18.75,female,NJ,72.4,2.8,2003,,,,
28,73.8,19.75,female,NJ,75.6,3.5,2004,,,,
28,77.3,20.75,female,NJ,78.8,3,2005,,,,
28,80.3,21.75,female,NJ,81.7,2.8,2006,,,,
28,83.1,22.75,female,NJ,83.1,0.1,2007,,,,
29,40.5,6.75,male,NJ,41.1,1.3,1991,,,,
29,41.8,7.75,male,NJ,42.6,1.7,1992,,,,
29,43.5,8.75,male,NJ,43.9,0.8,1993,,,,
29,44.3,9.75,male,NJ,45,1.5,1994,,,,
29,45.8,10.75,male,NJ,46.5,1.5,1995,,,,
29,47.3,11.75,male,NJ,48.2,1.8,1996,,,,
29,49.1,12.75,male,NJ,50.1,2.1,1997,,,,
29,51.2,13.75,male,NJ,53.3,4.3,1998,,,,
29,55.5,14.75,male,NJ,58.1,5.3,1999,,,,
29,60.8,15.75,male,NJ,61.9,2.3,2000,,,,
29,63,16.75,male,NJ,64.7,3.4,2001,,,,
29,66.4,17.75,male,NJ,67.4,2,2002,,,,
29,68.4,18.75,male,NJ,69.1,1.3,2003,,,,
29,69.7,19.75,male,NJ,71,2.5,2004,,,,
29,72.2,20.75,male,NJ,73.5,2.6,2005,,,,
29,74.8,21.75,male,NJ,76.2,2.8,2006,,,,
29,77.6,22.75,male,NJ,79.2,3.2,2007,,,,
30,65.9,15.75,male,NJ,68.4,5,1998,,,,
30,70.9,16.75,male,NJ,72.7,3.6,1999,,,,
30,74.5,17.75,male,NJ,75.5,2.1,2000,,,,
30,76.6,18.75,male,NJ,76.6,0.1,2001,,,,
30,76.7,19.75,male,NJ,76.8,0.2,2002,,,,
30,76.9,20.75,male,NJ,77.9,1.9,2003,,,,
30,78.9,21.75,male,NJ,80,2.4,2004,,,,
30,81.2,22.75,male,NJ,82.9,3.3,2005,,,,
30,84.5,23.75,male,NJ,85.6,2.2,2006,,,,
30,86.8,24.75,male,NJ,87.6,1.8,2007,,,,
31,28.4,3.75,unknown,VA,29.2,1.5,1990,,,,
31,29.9,4.75,unknown,VA,31.1,2.4,1991,,,,
31,32.3,5.75,unknown,VA,33.7,2.9,1992,,,,
31,35.2,6.75,unknown,VA,36.8,3.2,1993,,,,
31,38.4,7.75,unknown,VA,39.4,2.1,1994,,,,
31,40.5,8.75,unknown,VA,41.3,1.6,1995,,,,
31,42.1,9.75,unknown,VA,42.7,1.3,1996,,,,
31,43.4,10.75,unknown,VA,43.4,0.1,1997,,,,
31,43.5,11.75,unknown,VA,43.9,0.9,1998,,,,
31,44.4,12.75,unknown,VA,44.8,0.9,1999,,,,
31,45.2,13.75,unknown,VA,47.2,3.9,2000,,,,
32,35.7,6.75,unknown,NC,36.6,1.9,1997,,,,
32,37.5,7.75,unknown,NC,38,1.1,1998,,,,
32,38.6,8.75,unknown,NC,38.9,0.7,1999,,,,
32,39.2,9.75,unknown,NC,39.8,1,2000,,,,
32,40.3,10.75,unknown,NC,42.1,3.7,2001,,,,
32,44,11.75,unknown,NC,44.8,1.6,2002,,,,
32,45.6,12.75,unknown,NC,46.5,1.8,2003,,,,
32,47.4,13.75,unknown,NC,47.9,1.1,2004,,,,
32,48.5,14.75,unknown,NC,48.8,0.6,2005,,,,
32,49.1,15.75,unknown,NC,50.1,2.1,2006,,,,
33,28.8,4.75,unknown,NC,31.3,5,1999,,,,
33,33.8,5.75,unknown,NC,35.8,4.1,2000,,,,
33,37.8,6.75,unknown,NC,38.9,2.2,2001,,,,
33,40,7.75,unknown,NC,42.4,4.7,2002,,,,
33,44.7,8.75,unknown,NC,47.7,6,2003,,,,
33,50.7,9.75,unknown,NC,52.7,3.9,2004,,,,
33,54.6,10.75,unknown,NC,54.8,0.3,2005,,,,
33,54.9,11.75,unknown,NC,55,0.2,2006,,,,
34,68.5,16.75,female,NC,69.2,1.3,1989,,,,
34,69.8,17.75,female,NC,70.1,0.7,1990,,,,
34,70.5,18.75,female,NC,70.6,0.2,1991,,,,
34,70.7,19.75,female,NC,70.8,0.1,1992,,,,
34,70.8,20.75,female,NC,70.9,0.2,1993,,,,
34,71,21.75,female,NC,73.8,5.6,1994,,,,
34,76.6,22.75,female,NC,78.3,3.5,1995,,,,
34,80,23.75,female,NC,80.9,1.7,1996,,,,
34,81.7,24.75,female,NC,82.7,1.9,1997,,,,
34,83.6,25.75,female,NC,83.8,0.4,1998,,,,
34,84,26.75,female,NC,84.4,0.6,1999,,,,
34,84.7,27.75,female,NC,85.1,0.8,2000,,,,
34,85.5,28.75,female,NC,85.6,0.3,2001,,,,
